Class,MeanIntensity,Contrast,EdgeDensity,Asymmetry
1,47.39910888671875,49.20862695189811,0.17877197265625,44.4564208984375
1,36.237060546875,47.698232824726354,0.09149169921875,49.1201171875
1,28.37017822265625,32.10165078652794,0.07159423828125,27.6619873046875
1,133.8125,46.27603785640577,0.21807861328125,43.556884765625
1,28.9794921875,33.96957392250455,0.0718994140625,27.747314453125
1,43.36541748046875,43.625545112623655,0.10223388671875,37.5718994140625
1,37.49725341796875,21.261721084425695,0.04754638671875,13.8543701171875
1,29.78173828125,43.102784908869324,0.12738037109375,28.27294921875
1,42.18255615234375,43.562324144521206,0.17669677734375,41.7613525390625
1,55.0155029296875,56.23239311153133,0.168701171875,52.689697265625
1,32.30108642578125,44.76933049444945,0.08465576171875,30.1182861328125
1,33.30023193359375,50.53092638603197,0.1173095703125,26.4249267578125
1,39.242431640625,41.076347210308406,0.16851806640625,35.897216796875
1,38.67205810546875,44.443161894406266,0.1287841796875,43.2322998046875
1,37.68072509765625,40.32849040373027,0.130126953125,29.9830322265625
1,70.4932861328125,65.087108877514,0.1854248046875,52.003173828125
1,80.14349365234375,86.79989504704027,0.23370361328125,96.6009521484375
1,32.57220458984375,45.87364595214248,0.12078857421875,30.8841552734375
